,City,Latitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
171,Beatrice,40.27,54.93,76.0,90.0,20.8
172,Bulgan,48.81,19.86,69.0,0.0,6.31
173,Nhulunbuy,-12.18,86.0,70.0,20.0,6.93
174,Paamiut,61.99,22.11,100.0,8.0,22.53
175,Traverse City,44.76,40.93,81.0,90.0,6.93
176,Gannan,47.92,26.79,42.0,36.0,8.55
178,Cabedelo,-6.97,80.6,88.0,0.0,5.82
179,Kodiak,39.95,57.79,54.0,40.0,14.99
181,Sola,58.89,37.18,93.0,40.0,5.82
182,Bukama,-9.2,69.59,90.0,32.0,3.74
183,Tasiilaq,65.61,23.0,92.0,90.0,3.36
184,Curup,-3.47,70.89,94.0,80.0,2.39
185,Koster,-25.86,57.12,81.0,20.0,2.62
187,Esperance,10.24,77.95,83.0,20.0,6.93
188,Dhidhdhoo,6.88,83.31,100.0,48.0,7.99
189,Vila Do Maio,15.13,69.8,73.0,0.0,16.11
190,Manzhouli,49.6,13.56,64.0,12.0,6.76
193,Komsomolskiy,67.55,6.63,84.0,48.0,14.25
195,Atambua,-9.11,77.42,100.0,92.0,4.85
196,Yenagoa,4.92,77.51,90.0,0.0,5.86
197,Codrington,-28.95,82.54,61.0,75.0,5.82
198,Nazira,26.91,62.6,88.0,40.0,1.95
199,Atasu,48.68,19.41,85.0,76.0,5.97
200,Bachi-Yurt,43.22,39.2,93.0,90.0,8.95
201,Flinders,-34.58,73.71,73.0,75.0,6.93
202,Zaozerne,51.37,31.56,90.0,64.0,10.67
203,Hovd,63.83,31.14,92.0,90.0,10.29
204,Khatanga,71.98,-21.18,30.0,0.0,5.97
206,Coffs Harbour,-30.3,80.06,83.0,75.0,6.93
207,Nueva Helvecia,-34.28,63.0,93.0,48.0,1.99
208,Roald,62.58,32.58,86.0,92.0,9.17
209,Ketou,7.36,79.67,82.0,36.0,6.76
210,Clyde River,70.47,-20.21,75.0,1.0,2.24
211,Walvis Bay,-22.95,60.28,87.0,0.0,2.24
212,Kingisepp,59.38,26.43,79.0,68.0,8.99
213,Todos Santos,23.45,69.26,52.0,40.0,16.11
215,Okato,-39.19,71.44,85.0,92.0,5.01
218,Altay,47.83,2.81,53.0,0.0,4.07
219,San Quintin,17.54,74.22,80.0,92.0,2.73
220,Thinadhoo,0.53,82.46,100.0,68.0,7.43
221,San Juan,-31.54,69.45,50.0,44.0,1.95
222,Kuminskiy,58.67,27.15,83.0,48.0,6.42
223,East London,-33.02,71.43,100.0,92.0,12.91
224,Harij,23.69,60.81,48.0,0.0,7.87
225,Norman Wells,65.28,8.6,60.0,40.0,9.17
226,Juazeirinho,-7.07,78.14,69.0,44.0,8.43
227,Port Elizabeth,39.31,42.93,48.0,1.0,5.82
228,Chokurdakh,70.62,-16.95,49.0,0.0,2.95
229,Adrar,27.87,60.8,15.0,0.0,10.29
230,Valparaiso,41.47,57.61,66.0,1.0,6.93
232,Rosarito,4.91,77.9,78.0,75.0,3.36
233,San Patricio,-26.98,71.57,91.0,92.0,2.06
234,Matagami,9.67,64.37,65.0,0.0,1.39
235,Yulara,-25.24,89.6,18.0,36.0,16.11
236,Seymchan,62.93,-10.79,69.0,0.0,2.73
237,Saint-Pierre,48.95,41.65,80.0,0.0,11.41
238,Wahiawa,21.5,77.83,78.0,20.0,12.75
239,Salinas,36.67,59.74,61.0,1.0,16.11
240,Iquitos,-3.75,80.6,88.0,40.0,3.36
241,Phalodi,27.13,58.56,75.0,0.0,8.43
242,Beloha,-25.17,72.51,76.0,0.0,13.47
244,Geraldton,49.72,37.4,86.0,90.0,6.93
245,Atagay,55.1,30.57,85.0,68.0,4.63
246,Takoradi,4.89,82.5,99.0,36.0,8.77
247,Saint-Augustin,44.83,46.2,87.0,75.0,8.05
248,Lorengau,-2.02,80.79,100.0,76.0,16.26
249,Port Lincoln,-34.72,66.21,87.0,0.0,5.97
251,Awbari,26.59,40.02,51.0,0.0,2.51
252,Hambantota,6.12,75.2,100.0,20.0,3.36
253,Ochakiv,46.61,30.2,80.0,0.0,3.4
255,Mookane,-23.68,70.98,67.0,12.0,8.21
256,Jaisalmer,26.91,53.61,89.0,0.0,4.74
257,Ventspils,57.39,35.6,93.0,0.0,8.05
258,Viedma,-40.81,61.8,58.0,12.0,14.7
259,Belaya Gora,68.54,-9.21,67.0,44.0,3.29
260,Richards Bay,-28.77,73.77,87.0,36.0,8.88
262,Khorixas,-20.37,53.21,71.0,0.0,1.61
263,Salalah,17.01,73.4,46.0,0.0,4.7
264,Yatou,3.63,82.4,78.0,75.0,5.82
265,Omis,43.44,42.8,93.0,92.0,3.36
266,Ahipara,-35.17,88.0,70.0,0.0,1.72
267,Saskylakh,71.97,-20.6,29.0,32.0,3.18
268,Bethel,60.79,37.83,64.0,40.0,9.17
269,Katsuura,33.93,48.43,43.0,75.0,10.29
270,Presidencia Roque Saenz Pena,-26.79,74.81,74.0,12.0,3.74
271,Altamirano,-35.36,65.25,88.0,0.0,3.36
272,Tulun,54.56,30.21,94.0,92.0,5.3
273,Camden,39.94,45.34,52.0,40.0,3.36
274,Ludvika,60.15,34.93,97.0,92.0,9.17
276,Zhigansk,66.77,6.18,80.0,56.0,6.53
277,Susangerd,31.56,55.4,71.0,0.0,2.24
278,Pevek,69.7,-20.64,100.0,8.0,2.95
280,Straumen,63.87,30.04,92.0,90.0,10.29
281,Cassilandia,-19.11,72.96,92.0,8.0,2.62
282,Miramar,10.09,70.29,64.0,20.0,16.11
283,Guilin,25.28,59.0,87.0,90.0,6.71
284,Rzeszow,50.04,39.76,56.0,0.0,9.17
285,Camacha,33.08,60.8,63.0,75.0,19.46
286,Pisco,-13.71,73.4,83.0,40.0,23.04
288,Scarborough,54.28,44.92,81.0,92.0,14.99
289,Hithadhoo,-0.6,82.37,100.0,88.0,9.78
290,Westport,53.8,48.24,93.0,92.0,14.0
291,Inongo,-1.93,77.46,88.0,24.0,1.95
292,Sayyan,15.17,44.39,87.0,0.0,1.05
293,Bonnyville,54.27,39.2,55.0,20.0,10.29
294,Sao Filipe,14.9,73.82,85.0,0.0,17.27
295,Ngaoundere,7.32,67.83,36.0,36.0,5.97
296,Juegang,32.31,53.01,69.0,92.0,11.34
297,Necochea,-38.55,62.01,52.0,0.0,4.0
298,Kimberley,-28.74,68.0,77.0,80.0,4.7
299,Iqaluit,63.75,-11.1,76.0,5.0,3.62
300,Ca Mau,9.18,76.61,98.0,0.0,7.76
302,Oksfjord,70.24,23.59,58.0,76.0,25.28
303,Leningradskiy,69.38,-12.72,80.0,12.0,6.87
304,Tabuk,17.41,67.29,97.0,92.0,2.62
305,Yumen,40.29,19.59,63.0,0.0,2.28
306,Dingle,11.0,78.0,70.0,0.0,12.12
307,Port Arthur,29.9,72.97,94.0,90.0,18.34
308,Chicama,-7.84,78.8,69.0,75.0,6.93
309,Yarmouth,50.71,46.35,75.0,75.0,11.41
310,Xining,36.62,9.92,75.0,32.0,2.17
311,Anadyr,64.73,-2.1,77.0,90.0,8.95
312,Opuwo,-18.06,58.29,34.0,0.0,4.74
313,Rocha,-34.48,63.56,94.0,92.0,17.05
314,Russell,-33.01,78.8,36.0,0.0,4.7
315,Praya,-8.71,77.0,94.0,75.0,2.24
316,Grindavik,63.84,34.59,100.0,40.0,6.93
317,Houma,35.63,28.95,88.0,0.0,1.95
318,Ribeira Grande,38.52,60.41,97.0,0.0,16.26
319,Inuvik,68.36,-5.81,70.0,75.0,5.82
320,Tommot,58.97,15.32,85.0,76.0,5.19
321,Mogoytuy,51.28,15.81,58.0,0.0,8.43
323,Mahajanga,-15.72,77.0,88.0,20.0,2.51
324,Dzialdowo,53.24,35.39,85.0,48.0,13.02
325,Kwinana,-32.25,69.37,72.0,8.0,16.11
326,Montreal,45.5,31.1,100.0,90.0,2.24
327,Kamenka,53.19,21.62,91.0,76.0,11.56
328,Buala,-8.15,87.77,74.0,12.0,6.53
329,North Bend,43.41,49.95,62.0,1.0,6.93
330,Bowmore,34.94,56.77,58.0,1.0,9.22
331,Petropavlovsk-Kamchatskiy,53.05,24.8,58.0,20.0,8.95
333,Saint-Paul-Les-Dax,43.73,49.05,93.0,92.0,2.24
334,Cabo San Lucas,22.89,69.37,52.0,40.0,16.11
336,Luderitz,-26.65,58.07,91.0,8.0,12.8
337,Cururupu,-1.82,77.42,94.0,92.0,2.95
338,Ushtobe,45.25,24.86,67.0,0.0,2.73
339,Arlit,18.74,71.07,33.0,0.0,6.2
340,Pasinler,39.98,41.0,65.0,75.0,3.36
342,Burla,53.34,17.79,81.0,8.0,3.74
343,Tshikapa,-6.42,73.82,93.0,32.0,1.61
344,Port-Gentil,-0.72,82.19,99.0,76.0,10.22
345,Sorong,-0.86,82.01,99.0,36.0,11.79
346,Toma,43.82,26.6,92.0,75.0,4.7
347,Karratha,-20.74,83.58,68.0,0.0,4.63
348,Arona,45.76,38.17,60.0,0.0,1.12
349,Seoul,37.57,38.61,48.0,0.0,6.93
350,Aljezur,37.31,53.04,69.0,0.0,18.28
351,Victoria,5.28,77.04,83.0,75.0,2.28
352,Darnah,32.77,58.92,100.0,12.0,21.18
353,Mitu,36.2,32.37,59.0,48.0,3.74
354,Tevriz,57.51,29.13,86.0,44.0,6.64
355,Orzu,44.77,39.51,84.0,68.0,3.4
356,Garowe,8.41,66.03,93.0,8.0,7.43
357,Serebryansk,49.68,11.85,69.0,0.0,1.95
358,Dalbandin,28.9,41.69,80.0,0.0,3.18
359,Nangomba,-10.9,71.66,94.0,0.0,4.63
360,Karlskrona,56.16,39.2,100.0,92.0,11.41
361,Umm Lajj,25.02,71.07,94.0,20.0,12.57
362,Dukat,42.44,36.0,71.0,24.0,1.72
365,Grass Valley,39.22,55.56,23.0,1.0,5.82
366,Husavik,50.56,31.71,87.0,92.0,13.69
367,Jardim,-21.48,75.17,91.0,12.0,6.2
368,Balad,-6.76,81.47,100.0,32.0,2.95
369,Moyale,3.52,71.66,51.0,0.0,6.64
371,Serenje,-13.23,54.96,85.0,12.0,2.84
373,Mareeba,-16.99,85.71,62.0,56.0,6.93
374,Velke Karlovice,49.36,38.01,80.0,90.0,4.7
375,Jeremoabo,-10.08,78.41,77.0,56.0,10.22
376,Darhan,49.49,18.69,75.0,32.0,2.62
377,Ures,30.73,65.48,53.0,0.0,5.01
378,Kavaratti,10.57,83.22,100.0,0.0,13.58
379,Oranjestad,12.52,80.6,78.0,20.0,18.34
380,Ojinaga,29.56,76.69,4.0,1.0,23.04
381,Jabinyanah,35.03,55.4,50.0,0.0,6.93
382,Bandar-E Lengeh,26.56,64.4,93.0,0.0,5.08
383,Nantucket,41.28,35.31,59.0,1.0,11.41
384,Kogon,39.73,43.84,75.0,0.0,4.7
385,Biskamzha,53.45,28.14,62.0,0.0,5.41
386,Tautira,-17.73,84.09,70.0,75.0,8.05
387,Fort Myers Beach,26.45,75.09,50.0,1.0,10.29
388,San Andres,13.32,79.94,100.0,0.0,6.2
390,Maua,0.23,62.43,87.0,44.0,1.61
391,Angoche,-16.23,81.15,100.0,8.0,9.66
394,Nortelandia,-14.45,76.52,89.0,8.0,2.62
396,Hwange,-18.35,76.29,40.0,48.0,11.79
397,Correntina,-13.34,74.58,85.0,20.0,4.63
398,Antofagasta,-23.65,66.2,68.0,0.0,9.17
399,Aleksandrov Gay,50.14,30.44,98.0,76.0,11.56
400,Santiago Del Estero,-27.8,77.24,57.0,12.0,7.43
401,San Marcos,14.97,73.17,74.0,75.0,4.7
402,Alakurtti,66.96,11.76,78.0,44.0,5.08
403,Lyubashivka,47.84,27.42,76.0,32.0,8.43
404,Cayenne,4.94,78.8,78.0,90.0,3.36
405,Sena Madureira,-9.07,77.1,86.0,24.0,1.61
406,Sabinopolis,-18.67,71.07,90.0,76.0,0.94
408,Meulaboh,4.14,77.55,100.0,32.0,3.29
409,Kondinskoye,59.65,26.7,82.0,20.0,7.54
410,Maroslele,46.27,41.0,52.0,0.0,5.82
411,Sao Joao Da Barra,-21.64,82.4,74.0,0.0,11.41
412,Traunstein,47.87,36.32,69.0,75.0,5.82
413,Kapuskasing,49.42,37.4,86.0,90.0,5.82
414,Quesnel,52.98,42.73,33.0,1.0,9.17
415,Amor,46.41,35.6,100.0,90.0,13.87
416,Klaksvik,62.23,37.4,86.0,80.0,13.87
417,Xuddur,4.12,73.91,72.0,0.0,11.34
418,Tambovka,46.93,23.82,71.0,0.0,5.64
419,Sambava,-14.27,78.77,100.0,64.0,4.97
420,San Cristobal,-0.39,57.31,87.0,40.0,9.17
422,Whitehorse,60.72,34.68,51.0,90.0,11.41
423,Kropotkin,45.43,28.0,83.0,48.0,3.06
424,Sovetskaya Gavan,48.97,27.15,93.0,76.0,9.78
425,Hearst,49.69,40.2,87.0,44.0,4.74
426,Shiyan,32.65,37.91,89.0,8.0,2.28
427,Wilmington,39.75,43.65,52.0,40.0,3.36
428,Labuhan,-2.54,74.72,89.0,44.0,2.84
429,Kozhva,65.11,18.33,88.0,68.0,5.08
431,Talcahuano,-36.72,60.8,72.0,0.0,17.22
435,Mozarlandia,-14.74,74.36,93.0,20.0,3.96
436,Lagoa,37.14,54.5,41.0,0.0,5.82
437,Marystown,47.17,28.0,100.0,0.0,11.79
438,Falam,22.91,50.46,82.0,0.0,1.72
439,Diu,20.71,62.34,77.0,0.0,11.79
440,Lexington,38.05,63.86,39.0,1.0,5.82
441,Shimoda,34.7,49.14,100.0,20.0,12.75
442,Khovu-Aksy,51.13,1.5,59.0,0.0,2.39
443,Fereydun Kenar,36.69,50.55,71.0,0.0,3.4
444,Crateus,-5.18,73.32,91.0,44.0,3.29
445,Maldonado,-34.91,66.2,88.0,75.0,17.22
446,Ken Caryl,39.58,27.01,100.0,90.0,29.97
447,Washington,38.9,50.58,39.0,40.0,6.76
448,Bograd,54.22,37.4,44.0,0.0,13.42
449,Saint-Denis,48.94,42.82,70.0,0.0,10.29
450,Griffith,-34.29,69.8,35.0,0.0,8.05
451,Pingliang,35.54,25.62,67.0,8.0,5.75
452,Maniitsoq,65.42,-0.8,87.0,0.0,6.53
453,Harper,30.3,75.24,23.0,1.0,6.93
454,Soe,57.91,31.64,94.0,90.0,9.17
455,Manta,45.1,29.22,85.0,64.0,3.06
456,Camopi,3.17,74.49,96.0,64.0,2.62
457,Ostersund,63.18,26.96,92.0,80.0,11.41
458,Lasa,34.92,52.34,76.0,75.0,3.36
459,Rondonopolis,-16.46,72.92,94.0,44.0,2.84
460,Hampton,42.74,41.79,100.0,90.0,10.29
461,Oistins,13.07,78.8,78.0,75.0,12.75
462,Nemuro,43.32,28.4,92.0,75.0,4.7
463,Burns Lake,54.23,34.53,54.0,56.0,2.95
464,Zomin,39.96,46.01,62.0,0.0,9.1
465,Ximei,23.74,71.67,72.0,75.0,4.7
466,Mugur-Aksy,50.38,-7.59,47.0,0.0,1.95
467,Kaitangata,-46.28,55.99,72.0,68.0,5.99
468,Amelia,42.55,43.48,87.0,80.0,4.7
469,Haines Junction,60.75,26.97,79.0,80.0,4.29
470,Desbiens,48.42,35.51,74.0,90.0,6.93
471,Padang,-0.92,77.0,88.0,20.0,2.24
472,Katangli,51.71,24.09,95.0,92.0,14.03
473,Guiratinga,-16.35,74.27,88.0,20.0,1.39
474,Tres Palos,16.83,86.0,58.0,5.0,12.75
475,Polillo,15.46,80.6,57.0,75.0,4.7
477,Havoysund,71.0,23.0,73.0,0.0,17.22
478,Terrace Bay,48.78,33.63,89.0,64.0,13.35
479,Yeppoon,-23.13,87.8,58.0,20.0,6.93
480,Ambon,47.55,48.76,76.0,90.0,12.75
481,Muros,42.77,43.14,93.0,40.0,4.7
483,Hlobyne,49.39,25.08,81.0,12.0,8.66
484,Los Llanos De Aridane,28.66,60.04,68.0,0.0,8.05
485,Reconquista,-29.14,68.64,88.0,0.0,2.73
486,Hami,42.84,28.91,65.0,0.0,4.63
487,Palmerston North,-40.35,67.08,79.0,88.0,5.01
488,Jieshi,22.82,66.03,97.0,88.0,16.82
489,Sangmelima,2.93,73.46,88.0,64.0,2.39
490,Kumba,4.64,69.99,98.0,20.0,3.4
491,Port Hardy,50.7,46.4,65.0,90.0,11.41
493,Campos Belos,-13.04,74.36,90.0,8.0,2.39
494,Mackay,53.65,37.38,32.0,75.0,11.41
495,Kasongo-Lunda,-6.48,71.34,92.0,76.0,2.39
496,Puerto Maldonado,-12.59,80.34,79.0,8.0,3.18
497,Axim,4.87,83.54,97.0,12.0,11.79
498,Mao,19.55,75.31,69.0,20.0,9.17
499,Intipuca,13.2,86.64,73.0,0.0,7.54
500,Tessalit,20.2,56.76,22.0,0.0,7.2
501,Golden,51.3,39.2,35.0,75.0,14.99
502,Sibolga,1.74,68.64,100.0,56.0,2.17
503,Ust-Nera,64.57,-16.59,63.0,36.0,1.72
504,Leh,34.16,-6.24,76.0,68.0,0.6
505,Half Moon Bay,37.46,59.04,58.0,1.0,16.11
506,Mawlaik,23.63,60.0,85.0,0.0,1.95
508,Wasilla,61.58,37.56,41.0,75.0,25.28
509,Rajapolah,-7.24,68.51,93.0,32.0,1.95
511,Minab,27.15,62.6,93.0,8.0,4.7
512,Tupik,54.43,7.98,68.0,24.0,3.62
513,Khuzhir,53.19,18.96,76.0,0.0,4.18
515,Quatre Cocos,-20.21,73.2,83.0,20.0,5.82
516,Dese,45.53,37.44,86.0,0.0,2.24
517,Okha,53.59,21.48,94.0,56.0,9.44
518,Byron Bay,-28.65,83.3,83.0,75.0,12.75
519,Karaton,-6.34,78.89,83.0,40.0,8.05
520,Warwick,41.7,36.63,64.0,90.0,8.05
522,Macklin,52.34,30.3,92.0,0.0,5.86
523,Torbay,47.66,27.95,79.0,20.0,6.93
524,Samarai,-10.62,76.2,100.0,92.0,13.58
526,San Carlos De Bariloche,-41.13,55.4,58.0,0.0,23.04
527,Palana,59.08,3.48,62.0,0.0,3.29
528,Pangoa,-12.12,68.82,97.0,44.0,1.72
529,Siilinjarvi,63.08,24.8,79.0,90.0,12.75
530,Marsaxlokk,35.84,53.89,81.0,0.0,9.17
532,Karasburg,-28.01,61.67,61.0,0.0,3.96
533,Sisimiut,66.94,-13.26,39.0,20.0,1.61
534,Lebork,54.54,40.82,65.0,0.0,13.87
535,Bacungan,9.87,75.2,73.0,40.0,6.93
536,Kirakira,-10.46,83.13,100.0,24.0,5.3
537,Sahuaripa,29.05,58.16,57.0,0.0,3.18
538,Surt,31.21,50.42,100.0,0.0,4.97
539,San Ramon,12.92,71.01,76.0,32.0,1.01
540,Stromness,42.87,40.89,84.0,90.0,9.17
541,Qarqin,37.41,45.47,70.0,0.0,8.32
542,Mount Gambier,-37.83,62.6,51.0,8.0,8.05
543,Bonavista,48.65,28.0,85.0,8.0,12.68
544,Zhanaozen,43.35,44.61,88.0,8.0,8.43
545,Karasjok,69.47,23.0,67.0,88.0,41.38
546,Nchelenge,-9.35,65.13,96.0,12.0,2.51
